gradient_wrt_Variable_4:0/softmax_cross_entropy_with_logits/softmax_cross_entropy_with_logits_v2_grad/mul,mul,182391,

gradient_wrt_Variable_7:0/mean_grad/div,div,177341,

gradient_wrt_Variable_6:0/mean_grad/div,div,177080,

gradient_wrt_Variable_2:0/relu__2_grad/greater_equal,greater_equal,174716,

gradient_wrt_Variable_3:0/relu__3_grad/sum,sum,173664,

gradient_wrt_Variable_9:0/softmax_cross_entropy_with_logits/softmax_cross_entropy_with_logits_v2_grad/mul,mul,173554,

gradient_wrt_Variable:0/mean_grad/div,div,173474,

gradient_wrt_Variable_6:0/relu__3_grad/greater_equal,greater_equal,172862,

Adam/update_Variable_9:0/apply_adam,apply_adam,172492,

Adam/update_Variable_6:0/apply_adam,apply_adam,172171,

gradient_wrt_Variable_8:0/mul_grad/index,index,172151,

gradient_wrt_Variable_4:0/relu__3_grad/greater_equal,greater_equal,171800,

Adam/update_Variable_3:0/apply_adam,apply_adam,169897,

gradient_wrt_Variable_6:0/mul_grad/mul,mul,169536,

add_5,add,169496,

gradient_wrt_Variable_10:0/mul_grad/mul,mul,168564,

Adam/update_Variable_2:0/apply_adam,apply_adam,167984,

gradient_wrt_Variable_4:0/add_1_grad/reshape_1,reshape,167041,

gradient_wrt_Variable_2:0/softmax_cross_entropy_with_logits/softmax_cross_entropy_with_logits_v2_grad/mul,mul,166411,

gradient_wrt_Variable_6:0/mean_grad/floor_div_1,floor_div,162604,

gradient_wrt_Variable_3:0/relu__3_grad/zeros,zeros,162593,

gradient_wrt_Variable_3:0/softmax_cross_entropy_with_logits/softmax_cross_entropy_with_logits_v2_grad/mul,mul,161632,

gradient_wrt_Variable_8:0/add_3_grad/add/reduce_sum_y,sum,161401,

gradient_wrt_Variable_4:0/relu__2_grad/zeros,zeros,161341,

gradient_wrt_Variable_2:0/mul_grad/index,index,160599,

gradient_wrt_Variable_4:0/add_2_grad/reshape,reshape,160099,

Adam/mul,mul,160098,

add_1,add,160038,

gradient_wrt_Variable_9:0/mul_grad/index,index,158906,

gradient_wrt_Variable:0/relu__3_grad/zeros,zeros,158295,

gradient_wrt_Variable_4:0/relu__3_grad/zeros,zeros,158286,

gradient_wrt_Variable_2:0/relu__3_grad/zeros,zeros,157864,

conv2d_2,conv2d,157814,

ExponentialDecay/mul,mul,157574,

Adam/update_Variable_4:0/apply_adam,apply_adam,157514,

gradient_wrt_Variable_8:0/relu__3_grad/sum,sum,156763,

